Species,Code,North America,,,,,,,
White Ibis,WHIB,1,,,,,,,
White-breasted Nuthatch,WBNU,1,,,,,,,
White-crowned Sparrow,WCSP,1,,,,,,,
White-eyed Vireo,WEVI,1,,,,,,,
White-faced Ibis,WFIB,1,,,,,,,
White-headed Woodpecker,WHWO,1,,,,,,,
White-rumped Sandpiper,WRSA,1,,,,,,,
White-tailed Kite,WTKI,1,,,,,,,
White-throated Sparrow,WTSP,1,,,,,,,
White-throated Swift,WTSW,1,,,,,,,
White-winged Dove,WWDO,1,,,,,,,
White-winged Scoter,WWSC,1,,,,,,,
Wild Turkey,WITU,1,,,,,,,
Willet,WILL,1,,,,,,,
Williamson's Sapsucker,WISA,1,,,,,,,
Willow Flycatcher,WIFL,1,,,,,,,
Wilson's Phalarope,WIPH,1,,,,,,,
Wilson's Plover,WIPL,1,,,,,,,
Wilson's Snipe,WISN,1,,,,,,,
Wilson's Storm-Petrel,WISP,1,,,,,,,
Wilson's Warbler,WIWA,1,,,,,,,
Winter Wren,WIWR,1,,,,,,,
Wood Duck,WODU,1,,,,,,,
Wood Stork,WOST,1,,,,,,,
Wood Thrush,WOTH,1,,,,,,,
Woodhouse's Scrub-Jay,WOSJ,1,,,,,,,
Worm-eating Warbler,WEWA,1,,,,,,,
Wrentit,WREN,1,,,,,,,
Yellow Warbler,YEWA,1,,,,,,,
Yellow-bellied Flycatcher,YBFL,1,,,,,,,
Yellow-bellied Sapsucker,YBSA,1,,,,,,,
Yellow-billed Cuckoo,YBCU,1,,,,,,,
Yellow-breasted Chat,YBCH,1,,,,,,,
Yellow-crowned Night Heron,YCNH,1,,,,,,,
Yellow-headed Blackbird,YHBL,1,,,,,,,
Yellow-rumped Warbler,YRWA,1,,,,,,,
Yellow-throated Vireo,YTVI,1,,,,,,,
Yellow-throated Warbler,YTWA,1,,,,,,,
African Silverbill,AFSI,1,,,,,,,
Akekee,AKEK,2,,,,,,,
Akiapolaau,AKIA,2,,,,,,,
Akikiki,AKIK,2,,,,,,,
Akohekohe,AKOH,2,,,,,,,
Aleutian Tern,ALTE,2,,,,,,,
Altamira Oriole,ALOR,2,,,,,,,
American Three-toed Woodpecker,ATTW,2,,,,,,,
Ancient Murrelet,ANMU,2,,,,,,,
Anianiau,ANIA,2,,,,,,,
Antillean Nighthawk,ANNI,2,,,,,,,
Apapane,APAP,2,,,,,,,
Arctic Warbler,ARWA,2,,,,,,,
Arizona Woodpecker,ARWO,2,,,,,,,
Ashy Storm-Petrel,ASSP,2,,,,,,,
Audubon's Oriole,AUOR,2,,,,,,,
Baird's Sparrow,BAIS,2,,,,,,,
Band-rumped Storm-Petrel,BSTP,2,,,,,,,
Bar-tailed Godwit,BTGO,2,,,,,,,
Bendire's Thrasher,BETH,2,,,,,,,
Bicknell's Thrush,BITH,2,,,,,,,
Black Francolin,BLFR,2,,,,,,,
Black Noddy,BLNO,2,,,,,,,
Black Rail,BLRA,2,,,,,,,
Black Rosy-Finch,BLRF,2,,,,,,,
Black Swift,BLSW,2,,,,,,,
Black-backed Woodpecker,BBWO,2,,,,,,,
Black-capped Petrel,BCPE,2,,,,,,,
Black-capped Vireo,BCVI,2,,,,,,,
Black-crested Titmouse,BCTI,2,,,,,,,
Black-headed Gull,BHGU,2,,,,,,,
Black-whiskered Vireo,BWVI,2,,,,,,,
Blue-throated Mountain-gem,BTMG,2,,,,,,,
Bluethroat,BLUE,2,,,,,,,
Bohemian Waxwing,BOWA,2,,,,,,,
Boreal Owl,BOOW,2,,,,,,,
Botteri's Sparrow,BOSP,2,,,,,,,
Bridled Tern,BRTE,2,,,,,,,
Bridled Titmouse,BRTI,2,,,,,,,
Bristle-thighed Curlew,BTCU,2,,,,,,,
Broad-billed Hummingbird,BBIH,2,,,,,,,
Brown Booby,BRBO,2,,,,,,,
Brown Noddy,BRNO,2,,,,,,,
Brown-capped Rosy-Finch,BCRF,2,,,,,,,
Buff-bellied Hummingbird,BBEH,2,,,,,,,
Buff-breasted Flycatcher,BBFL,2,,,,,,,
Buller's Shearwater,BULS,2,,,,,,,
California Condor,CACO,2,,,,,,,
California Gnatcatcher,CAGN,2,,,,,,,
California Thrasher,CATH,2,,,,,,,
Cassia Crossbill,CACR,2,,,,,,,
Cerulean Warbler,CERW,2,,,,,,,
Chestnut Munia,CHMU,2,,,,,,,
Chinese Hwamei (Hwamei),HWAM,2,,,,,,,
Chukar,CHUK,2,,,,,,,
Clay-colored Thrush,CCTH,2,,,,,,,
Cocos Booby,COBO,2,,,,,,,
Colima Warbler,COLW,2,,,,,,,
Common Black Hawk,COBH,2,,,,,,,
Common Myna,COMY,2,,,,,,,
Common Pauraque,COPA,2,,,,,,,
Common Waxbill,COMW,2,,,,,,,
Connecticut Warbler,CONW,2,,,,,,,
Couch's Kingbird,COKI,2,,,,,,,
Craveri's Murrelet,CRMU,2,,,,,,,
Crested Auklet,CRAU,2,,,,,,,
Crested Caracara,CRCA,2,,,,,,,
Crissal Thrasher,CRTH,2,,,,,,,
Dovekie,DOVE,2,,,,,,,
Dusky Grouse,DUGR,2,,,,,,,
Dusky-capped Flycatcher,DCFL,2,,,,,,,
Eastern Yellow Wagtail,EYWA,2,,,,,,,
Egyptian Goose,EGGO,2,,,,,,,
Elegant Trogon,ELTR,2,,,,,,,
Elf Owl,ELOW,2,,,,,,,
Emperor Goose,EMGO,2,,,,,,,
Erckel's Spurfowl (Francolin),ERFR,2,,,,,,,
Eurasian Skylark,EUSK,2,,,,,,,
Eurasian Tree Sparrow,ETSP,2,,,,,,,
Eurasian Wigeon,EUWI,2,,,,,,,
European Goldfinch,EGOL,2,,,,,,,
Five-striped Sparrow,FSSP,2,,,,,,,
Flammulated Owl,FLOW,2,,,,,,,
Florida Scrub-Jay,FLSJ,2,,,,,,,
Fork-tailed Storm-Petrel,FTSP,2,,,,,,,
Gilded Flicker,GIFL,2,,,,,,,
Golden-cheeked Warbler,GCWA,2,,,,,,,
Golden-winged Warbler,GWWA,2,,,,,,,
Gray Francolin,GRAF,2,,,,,,,
Gray Hawk,GRHA,2,,,,,,,
Gray Kingbird,GRAK,2,,,,,,,
Gray Partridge,GRAP,2,,,,,,,
Gray Vireo,GRVI,2,,,,,,,
Gray-backed Tern,GBAT,2,,,,,,,
Gray-headed (Purple) Swamphen,PUSW,2,,,,,,,
Great Frigatebird,GREF,2,,,,,,,
Great Gray Owl,GGOW,2,,,,,,,
